"fylkenr_1972";"fylkenavn_1972";"fylkenr_2018";"fylkenavn_2018"
"01";"Østfold";"01";"Østfold"
"02";"Akershus";"02";"Akershus"
"03";"Oslo";"03";"Oslo"
"04";"Hedmark";"04";"Hedmark"
"05";"Oppland";"05";"Oppland"
"06";"Buskerud";"06";"Buskerud"
"07";"Vestfold";"07";"Vestfold"
"08";"Telemark";"08";"Telemark"
"09";"Aust-Agder";"09";"Aust-Agder"
"10";"Vest-Agder";"10";"Vest-Agder"
"11";"Rogaland";"11";"Rogaland"
"12";"Hordaland";"12";"Hordaland"
"14";"Sogn og Fjordane";"14";"Sogn og Fjordane"
"15";"Møre og Romsdal";"15";"Møre og Romsdal"
"16";"Sør-Trøndelag";"50";"Trøndelag"
"17";"Nord-Trøndelag";"50";"Trøndelag"
"18";"Nordland";"18";"Nordland"
"19";"Troms";"19";"Troms Romsa"
"20";"Finnmark - Finnmárku";"20";"Finnmark Finnmárku"
"99";"Uoppgitt";"99";"Uoppgitt"
